"","Year","emissionEnergyCons","emissionWasteDisp","emissionFert","emissionLand","TotalEmission","CummulativeEmission"
"1",2016,38353880.4644831,325308.321487569,604143.697023211,3040956.58338998,42324289.0663839,42324289.0663839
"2",2017,40271570.5357004,341573.631816697,634329.054650747,3391062.9697677,44638536.1919356,86962825.2583194
"3",2018,42285153.0144984,358652.419152985,666067.334653841,3596986.20708195,46906858.9753872,133869684.233707
"4",2019,44399415.0124291,376585.15643033,699394.711311541,3794968.2034017,49270363.0835726,183140047.317279
"5",2020,46619390.5449758,395414.542203526,734390.857803296,3981894.56059542,51731090.505578,234871137.822857
"6",2021,48950365.3323573,415185.410060964,771139.452799613,4162522.08733014,54299212.2825481,289170350.105405
"7",2022,51397889.3851031,435944.835385498,809728.382650512,4340725.30790265,56984287.9110418,346154638.016447
"8",2023,53967790.2191054,457742.247458551,850249.95474054,4519830.4888842,59795612.9101887,405950250.926636
"9",2024,56666186.7312994,480629.547166159,892801.120848773,4702861.7472414,62742479.1465558,468692730.073192
"10",2025,59499503.7691986,504661.230591746,937483.711905858,4892734.82425892,65834383.5359551,534527113.609147
"11",2026,62474487.4291115,529894.518794966,984404.685942239,5092423.40974906,69081210.0435978,603608323.652744
"12",2027,65598221.1192309,556389.494077578,1033676.38792542,5305115.08530875,72493402.0865426,676101725.739287
"13",2028,68878142.4257247,584209.243058822,1085416.82184191,5534370.83881855,76082139.329444,752183865.068731
"14",2029,72418037.015412,613435.45725169,1139763.40965531,5787455.45282633,79958691.3351453,832142556.403876
"15",2030,76034152.4595965,644106.789470491,1196819.40958694,6059694.9370049,83934773.5956589,916077329.999535
